BORO,PARCEL_ADDRESS,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,Primary Use Text
1,WEST 135 STREET,MN12,7,SOLID WASTE TSFR STN
1,PIER 99,MN03,3,SOLID WASTE TSFR STN
5,ELVERTON AVENUE,SI03,51,SOLID WASTE LANDFILL
5,ARTHUR KILL ROAD,SI03,51,SOLID WASTE LANDFILL
5,ARTHUR KILL ROAD,SI03,51,SOLID WASTE LANDFILL
5,ARTHUR KILL RD,SI03,51,SOLID WASTE LANDFILL
3,75 20 STREET,BKS07,38,SOLID WASTE TSFR STN
3,550 HAMILTON AVENUE,BKS07,38,SOLID WASTE TSFR STN
4,5402 ALMEDA AVENUE,QE14,31,SOLID WASTE LANDFILL
3,488 HAMILTON AVENUE,BKS07,38,SOLID WASTE TSFR STN
5,327 ARTHUR KILL RD,SI03,51,SOLID WASTE LANDFILL
2,2 FARRAGUT STREET,BX01,17,SOLID WASTE TSFR STN
2,201 RYAWA AVENUE,BX01,17,SOLID WASTE TSFR STN
3,19 STREET,BKS07,38,SOLID WASTE TSFR STN
3,175 VARICK AVENUE,BKN01,34,SOLID WASTE FACILITY
1,1740 YORK AVENUE,MN08,5,SOLID WASTE TSFR STN
2,920 East 132 Street,BX01,17,SOLID WASTE TSFR STN
2,E. 132nd St & Locust Ave,MN11,8,SOLID WASTE TSFR STN
2,325 Casanova Street,BX01,17,SOLID WASTE TSFR STN
2,287 Halleck Street,BX01,17,SOLID WASTE TSFR STN
2,1199 Randall Ave. ,BX01,17,SOLID WASTE TSFR STN
2,98 Lincoln Avenue,BX01,17,SOLID WASTE TSFR STN
3,941 Stanley Ave,BKN05,42,SOLID WASTE TSFR STN
3,105-115 THAMES Street,BKN01,34,SOLID WASTE TSFR STN
3,130 Varick Avenue,BKN01,34,SOLID WASTE TSFR STN
3,563-577 Court Street,BKS07,38,SOLID WASTE TSFR STN
3,110-120 50th Street,BKS07,38,SOLID WASTE TSFR STN
3,475 Scott Avenue,BKN01,34,SOLID WASTE TSFR STN
3,215 Varick Avenue,BKN01,34,SOLID WASTE TSFR STN
1,West 59th Street & Westside Highway,MN06,3,SOLID WASTE TSFR STN
4,172-33 Douglas Avenue,QE12,27,SOLID WASTE TSFR STN
4,94-29 165th Street,QE12,27,SOLID WASTE TSFR STN
4,172-06 Douglas Avenue,QE12,27,SOLID WASTE TSFR STN
4,127-20 34th Avenue,QE07,20,SOLID WASTE TSFR STN
4,38-22 Review Avenue,QW01,26,SOLID WASTE TSFR STN
5,600 West Service Road,SI02,50,SOLID WASTE TSFR STN