EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
11/1/13,70,65,59,62,57,50,87,69,51,29.78,29.64,29.56,10,8,1,23,5,43,0.13,4,Rain,265
11/2/13,68,62,55,55,44,36,87,62,37,29.78,29.68,29.63,10,10,9,10,4,18,0,3,,336
11/3/13,55,46,37,40,30,20,71,57,42,30.43,30.12,29.8,10,10,10,15,6,21,0,4,,356
11/4/13,46,41,35,23,16,12,47,37,27,30.66,30.6,30.47,10,10,10,15,6,24,0,0,,65
11/5/13,55,48,41,41,34,25,67,56,45,30.66,30.59,30.48,10,10,10,10,4,14,0,3,,82
11/6/13,61,55,49,51,44,40,80,65,49,30.49,30.32,30.07,10,10,10,9,4,19,0,3,,173
11/7/13,64,54,44,56,48,29,84,67,49,30.05,29.88,29.76,10,9,2,15,7,24,0.13,6,Rain,293
11/8/13,50,45,40,31,25,21,65,50,34,30.22,30.07,29.95,10,10,10,16,9,28,0,3,,290
11/9/13,50,44,38,33,26,22,59,46,32,30.29,30.19,30,10,10,10,13,5,23,0,1,,258
11/10/13,61,53,44,35,30,26,65,47,29,30.05,29.93,29.81,10,10,10,18,8,33,T,4,,269
11/11/13,53,48,43,30,26,22,49,42,35,30.21,30.1,29.97,10,10,10,16,6,26,0,4,,282
11/12/13,52,42,31,33,23,13,75,56,37,30.29,30.13,29.94,10,9,2,16,6,29,0.03,5,Rain-Snow,310
11/13/13,39,34,29,18,13,8,58,43,27,30.37,30.32,30.28,10,10,10,14,6,22,0,0,,290
11/14/13,52,43,33,19,15,11,51,35,19,30.25,30.21,30.16,10,10,10,17,8,31,0,0,,261
11/15/13,57,51,44,27,22,19,41,33,24,30.25,30.21,30.17,10,10,10,13,5,23,0,0,,239
11/16/13,60,53,45,46,40,27,83,61,38,30.33,30.29,30.23,10,9,6,12,3,17,0.05,3,Rain,252
11/17/13,60,56,51,57,53,46,93,85,77,30.3,30.08,29.8,8,4,2,10,4,16,0.03,8,Rain,102
11/18/13,65,58,51,60,44,22,93,60,26,29.82,29.68,29.6,10,8,2,20,7,31,0.22,4,Rain,259
11/19/13,51,44,36,26,22,19,48,42,36,30.35,30.08,29.79,10,10,10,20,9,31,0,3,,312
11/20/13,44,38,32,19,15,9,56,40,24,30.61,30.52,30.36,10,10,10,15,7,23,0,0,,38
11/21/13,52,44,35,40,31,18,66,55,44,30.62,30.52,30.4,10,10,10,10,5,14,0,5,,57
11/22/13,57,54,51,48,45,39,89,76,63,30.38,30.15,29.92,10,8,4,12,7,18,0.07,6,Rain,254